id,text,language,emotion,stress_level,stress_score
1,I am surprised by the news #0,English,anger,medium,5
2,I am frustrated with my tasks #1,English,neutral,medium,5
3,I feel lonely today #2,English,surprise,low,2
4,I am angry about the situation #3,English,surprise,medium,4
5,I am angry about the situation #4,English,fear,high,7
6,I am stressed about my work #5,English,neutral,low,2
7,I feel calm and relaxed #6,English,fear,medium,6
8,I feel excited for tomorrow #7,English,sadness,low,3
9,I am angry about the situation #8,English,sadness,low,0
10,I am angry about the situation #9,English,neutral,high,10
11,I feel calm and relaxed #10,English,surprise,high,10
12,I am worried about my exams #11,English,stress,high,7
13,I feel calm and relaxed #12,English,joy,medium,6
14,I am worried about my exams #13,English,fear,high,10
15,I feel a lot of pressure #14,English,joy,high,10
16,I am worried about my exams #15,English,surprise,medium,4
17,I feel nervous about my future #16,English,sadness,high,10
18,I feel calm and relaxed #17,English,sadness,high,7
19,I feel a lot of pressure #18,English,fear,low,0
20,I feel excited for tomorrow #19,English,neutral,low,2
21,I feel a lot of pressure #20,English,anger,high,7
22,I feel peaceful today #21,English,neutral,high,9
23,I feel lonely today #22,English,surprise,low,3
24,I am stressed about my work #23,English,neutral,high,7
25,I am worried about my exams #24,English,neutral,low,3
26,I feel excited for tomorrow #25,English,sadness,medium,6
27,I feel lonely today #26,English,stress,medium,4
28,I feel calm and relaxed #27,English,fear,low,2
29,I am surprised by the news #28,English,neutral,low,2
30,I feel very happy today #29,English,fear,medium,6
31,I feel very happy today #30,English,neutral,medium,4
32,I feel a lot of pressure #31,English,stress,low,3
33,I am worried about my exams #32,English,stress,low,1
34,I am worried about my exams #33,English,joy,high,10
35,I feel calm and relaxed #34,English,joy,medium,5
36,I feel excited for tomorrow #35,English,fear,high,7
37,I feel lonely today #36,English,surprise,medium,5
38,I feel a lot of pressure #37,English,surprise,medium,4
39,I feel a lot of pressure #38,English,fear,medium,4
40,I am worried about my exams #39,English,neutral,low,1
41,I feel nervous about my future #40,English,anger,medium,6
42,I feel nervous about my future #41,English,joy,low,3
43,I feel excited for tomorrow #42,English,anger,low,0
44,I feel calm and relaxed #43,English,fear,high,9
45,I feel calm and relaxed #44,English,stress,high,9
46,I am angry about the situation #45,English,anger,low,1
47,I am surprised by the news #46,English,surprise,low,0
48,I feel nervous about my future #47,English,sadness,low,3
49,I feel excited for tomorrow #48,English,surprise,medium,4
50,I feel calm and relaxed #49,English,neutral,high,9
51,I feel lonely today #50,English,stress,medium,5
52,I feel a lot of pressure #51,English,stress,low,1
53,I am frustrated with my tasks #52,English,anger,medium,4
54,I feel peaceful today #53,English,stress,low,3
55,I am angry about the situation #54,English,stress,high,8
56,I am surprised by the news #55,English,anger,high,8
57,I feel excited for tomorrow #56,English,surprise,low,2
58,I feel calm and relaxed #57,English,sadness,high,7
59,I feel excited for tomorrow #58,English,surprise,high,9
60,I am stressed about my work #59,English,neutral,low,3
61,I am stressed about my work #60,English,surprise,high,7
62,I am stressed about my work #61,English,sadness,high,9
63,I feel excited for tomorrow #62,English,anger,low,3
64,I feel calm and relaxed #63,English,fear,high,7
65,I am stressed about my work #64,English,stress,high,7
66,I feel very happy today #65,English,fear,medium,5
67,I am angry about the situation #66,English,stress,low,0
68,I am stressed about my work #67,English,surprise,medium,5
69,I am angry about the situation #68,English,surprise,medium,6
70,I feel a lot of pressure #69,English,fear,high,9
71,I feel a lot of pressure #70,English,neutral,high,7
72,I feel excited for tomorrow #71,English,surprise,medium,6
73,I am worried about my exams #72,English,neutral,medium,4
74,I am angry about the situation #73,English,neutral,low,1
75,I am surprised by the news #74,English,surprise,medium,5
76,I am frustrated with my tasks #75,English,anger,low,0
77,I am worried about my exams #76,English,fear,medium,4
78,I am worried about my exams #77,English,anger,high,7
79,I feel lonely today #78,English,surprise,high,7
80,I am worried about my exams #79,English,neutral,medium,4
81,I am worried about my exams #80,English,stress,low,0
82,I am angry about the situation #81,English,neutral,high,8
83,I am worried about my exams #82,English,anger,low,2
84,I am frustrated with my tasks #83,English,neutral,low,2
85,I am angry about the situation #84,English,surprise,low,3
86,I am frustrated with my tasks #85,English,surprise,high,10
87,I am worried about my exams #86,English,fear,low,2
88,I feel nervous about my future #87,English,surprise,medium,4
89,I feel calm and relaxed #88,English,surprise,low,3
90,I feel lonely today #89,English,joy,high,8
91,I feel calm and relaxed #90,English,stress,medium,5
92,I feel very happy today #91,English,fear,medium,4
93,I feel excited for tomorrow #92,English,joy,high,8
94,I feel lonely today #93,English,fear,high,7
95,I feel very happy today #94,English,neutral,low,0
96,I am worried about my exams #95,English,neutral,medium,5
97,I feel very happy today #96,English,sadness,medium,4
98,I am frustrated with my tasks #97,English,sadness,high,10
99,I am worried about my exams #98,English,neutral,medium,6
100,I feel nervous about my future #99,English,surprise,medium,5
101,I feel lonely today #100,English,stress,medium,6
102,I am surprised by the news #101,English,sadness,medium,5
103,I am stressed about my work #102,English,fear,low,3
104,I am worried about my exams #103,English,neutral,high,9
105,I am surprised by the news #104,English,joy,low,3
106,I feel peaceful today #105,English,fear,medium,5
107,I am stressed about my work #106,English,anger,high,7
108,I feel a lot of pressure #107,English,sadness,low,1
109,I feel peaceful today #108,English,neutral,medium,4
110,I am stressed about my work #109,English,surprise,high,7
111,I feel calm and relaxed #110,English,joy,low,0
112,I feel lonely today #111,English,neutral,low,2
113,I am frustrated with my tasks #112,English,fear,high,9
114,I feel nervous about my future #113,English,fear,high,9
115,I feel lonely today #114,English,fear,high,9
116,I am angry about the situation #115,English,surprise,low,2
117,I feel peaceful today #116,English,anger,low,1
118,I feel calm and relaxed #117,English,neutral,medium,6
119,I am stressed about my work #118,English,sadness,low,0
120,I am stressed about my work #119,English,stress,low,0
121,I am stressed about my work #120,English,surprise,low,0
122,I feel very happy today #121,English,anger,low,0
123,I am surprised by the news #122,English,joy,medium,4
124,I am surprised by the news #123,English,surprise,low,3
125,I am stressed about my work #124,English,neutral,high,10
126,I feel very happy today #125,English,joy,high,7
127,I feel very happy today #126,English,sadness,high,8
128,I am worried about my exams #127,English,fear,medium,5
129,I feel peaceful today #128,English,joy,high,8
130,I feel calm and relaxed #129,English,neutral,medium,6
131,I am stressed about my work #130,English,stress,low,1
132,I feel nervous about my future #131,English,anger,high,10
